i,v
943506806931734528,0.025
1039833297751302144,0.025
2568108282,0.025
302505363,0.025
1022821051187822593,0.025
339061487,0.025
1598709350,0.025
40742821,0.025
918804624303382528,0.025
1260559704335568896,0.025
12,0.025
776078472477347840,0.025
1462727797135216641,0.025
1123403704323805184,0.025
918122676195090433,0.025
17351167,0.025
899558268795842561,0.025
166765173,0.025
412587524,0.025
2453385626,0.025
1527806202,0.025
963767159536209921,0.025
26377478,0.025
1387497871751196672,0.025
2577886615,0.025
2178012643,0.025
2289920970,0.025
2529971,0.025
1356386110847377408,0.025
116328126,0.025
313724502,0.025
823766058909761536,0.025
80722677,0.025
1204315977720221696,0.025
952921795316912133,0.025
2924758090,0.025
295218901,0.025
983993370048630785,0.025
14571055,0.025
981208355115974656,0.025
